id,department,priority,status,staff_id,created_at,resolved_at,complexity
1,PEDS,Medium,Resolved,69,2025-05-27 19:33:19.204340,2025-05-28 06:58:19.064423,3
2,ICU,Medium,Resolved,30,2025-10-10 01:41:19.204340,2025-10-10 14:20:35.234420,2
3,OPD,Medium,Resolved,47,2025-10-04 01:22:19.204340,2025-10-04 17:12:48.739824,2
4,CARD,Low,Resolved,91,2025-10-15 05:00:19.204340,2025-10-16 01:01:58.102476,6
5,ICU,Low,Resolved,19,2025-09-26 07:56:19.204340,2025-09-29 04:59:23.812927,5
6,ER,Medium,Resolved,8,2025-09-02 03:01:19.204340,2025-09-02 14:43:00.859916,7
7,ER,Medium,Resolved,2,2025-05-14 02:48:19.204340,2025-05-14 15:40:15.237814,8
8,ICU,Medium,Resolved,20,2025-11-22 06:30:19.204340,2025-11-22 15:37:07.208488,4
9,RAD,Low,Resolved,81,2025-09-19 13:19:19.204340,2025-09-20 13:48:53.308870,2
10,ICU,Medium,Resolved,24,2025-05-10 05:25:19.204340,2025-05-10 16:41:47.430931,5
11,ICU,Medium,Resolved,25,2025-10-07 22:22:19.204340,2025-10-08 19:35:55.715751,3
12,OPD,High,Resolved,57,2026-02-10 01:19:19.204340,2026-02-10 04:48:50.504518,3
13,OPD,Medium,Resolved,53,2026-01-15 05:20:19.204340,2026-01-15 18:46:09.280586,10
14,RAD,Low,Resolved,85,2025-11-02 06:02:19.204340,2025-11-04 12:05:18.060442,3
15,ICU,Low,Resolved,30,2026-02-07 22:55:19.204340,2026-02-08 23:18:24.271711,9
16,ER,Medium,Resolved,3,2025-10-21 05:58:19.204340,2025-10-21 17:18:14.603047,10
17,OPD,Medium,Resolved,59,2025-09-22 23:00:19.204340,2025-09-23 08:52:34.139597,10
18,ER,Medium,Resolved,9,2025-10-22 06:52:19.204340,2025-10-23 08:45:58.718965,7
19,CARD,Low,Resolved,98,2025-07-01 22:58:19.204340,2025-07-02 21:07:29.026339,4
20,RAD,High,Resolved,89,2025-04-29 18:40:19.204340,2025-04-29 23:08:59.516056,4
21,ICU,High,Resolved,17,2025-05-29 05:04:19.204340,2025-05-29 07:54:23.652607,9
22,SURG,High,Resolved,31,2025-04-07 08:06:19.204340,2025-04-07 11:33:27.616274,1
23,ICU,High,Resolved,27,2026-01-08 21:34:19.204340,2026-01-09 00:44:13.207177,8
24,ICU,High,Resolved,29,2025-06-20 01:44:19.204340,2025-06-20 10:26:05.166814,4
25,SURG,Medium,Resolved,33,2026-02-21 03:05:19.204340,2026-02-21 18:40:00.197180,4
26,SURG,Medium,Resolved,44,2025-03-17 00:35:19.204340,2025-03-17 04:54:36.989330,9
27,RAD,Medium,Resolved,82,2025-03-24 04:28:19.204340,2025-03-25 06:23:53.886919,9
28,OPD,High,Resolved,47,2025-12-22 09:15:19.204340,2025-12-22 11:03:17.047037,4
29,PEDS,High,Resolved,75,2026-02-24 00:15:19.204340,2026-02-24 03:03:55.836422,5
30,SURG,Medium,Resolved,42,2025-08-10 03:55:19.204340,2025-08-10 14:28:44.795155,8
31,RAD,High,Resolved,81,2025-08-02 02:28:19.204340,2025-08-02 04:09:49.754146,6
32,SURG,Medium,Resolved,42,2026-02-23 01:19:19.204340,2026-02-23 06:17:18.906022,3
33,PEDS,Low,Resolved,64,2025-12-15 09:30:19.204340,2025-12-16 22:35:31.488580,1
34,CARD,Medium,Resolved,98,2025-06-25 07:52:19.204340,2025-06-25 22:22:04.386247,6
35,OPD,Low,Resolved,54,2025-05-23 06:38:19.204340,2025-05-25 08:08:08.351236,8
36,SURG,Medium,Resolved,41,2025-05-03 00:11:19.204340,2025-05-03 11:03:34.932547,4
37,OPD,High,Resolved,49,2025-06-19 00:17:19.204340,2025-06-19 01:01:30.230145,9
38,OPD,Low,Resolved,58,2025-06-07 04:32:19.204340,2025-06-07 20:25:28.383836,8
39,CARD,Medium,Resolved,93,2025-08-19 08:33:19.204340,2025-08-19 14:11:11.124740,9
40,SURG,Medium,Resolved,33,2025-10-13 02:03:19.204340,2025-10-14 04:11:53.793931,5
41,OPD,Medium,Resolved,50,2025-08-12 06:25:19.204340,2025-08-12 16:55:03.711923,5
